 time, var_acx, var_acy, var_acz, pitch, var_roll, vra_yaw 
 17.550000, 0.000005, 0.000002, 0.000010, 0.000021, 0.000025, 0.000032 
 17.600000, 0.000005, 0.000002, 0.000010, 0.000026, 0.000018, 0.000027 
 17.650000, 0.000005, 0.000002, 0.000010, 0.000026, 0.000014, 0.000026 
 17.700000, 0.000005, 0.000002, 0.000009, 0.000029, 0.000018, 0.000029 
 17.750000, 0.000004, 0.000002, 0.000009, 0.000025, 0.000016, 0.000034 
 17.800000, 0.000004, 0.000002, 0.000009, 0.000025, 0.000016, 0.000034 
 17.850000, 0.000004, 0.000002, 0.000009, 0.000025, 0.000026, 0.000034 
 17.900000, 0.000004, 0.000002, 0.000009, 0.000024, 0.000029, 0.000030 
 17.950000, 0.000003, 0.000002, 0.000011, 0.000021, 0.000025, 0.000021 
 18.000000, 0.000003, 0.000002, 0.000011, 0.000021, 0.000024, 0.000024 
 18.050000, 0.000003, 0.000002, 0.000011, 0.000018, 0.000024, 0.000023 
 18.100000, 0.000005, 0.000002, 0.000014, 0.000019, 0.000025, 0.000023 
 18.150000, 0.000004, 0.000002, 0.000013, 0.000021, 0.000030, 0.000022 
 18.200000, 0.000004, 0.000002, 0.000013, 0.000023, 0.000032, 0.000030 
 18.250000, 0.000004, 0.000002, 0.000010, 0.000024, 0.000032, 0.000031 
 18.300000, 0.000004, 0.000001, 0.000010, 0.000024, 0.000037, 0.000028 
 18.350000, 0.000004, 0.000001, 0.000007, 0.000017, 0.000037, 0.000028 
 18.400000, 0.000004, 0.000002, 0.000007, 0.000021, 0.000033, 0.000028 
 18.450000, 0.000003, 0.000002, 0.000007, 0.000015, 0.000031, 0.000021 
 18.500000, 0.000003, 0.000002, 0.000007, 0.000020, 0.000031, 0.000025 
 18.550000, 0.000004, 0.000004, 0.000007, 0.000022, 0.000031, 0.000025 
 18.600000, 0.000004, 0.000004, 0.000010, 0.000022, 0.000025, 0.000026 
 18.650000, 0.000004, 0.000004, 0.000010, 0.000023, 0.000023, 0.000026 
 18.700000, 0.000004, 0.000004, 0.000019, 0.000023, 0.000036, 0.000026 
 18.750000, 0.000005, 0.000004, 0.000019, 0.000034, 0.000036, 0.000029 
 18.800000, 0.000007, 0.000007, 0.000019, 0.000054, 0.000097, 0.000030 
 18.850000, 0.000007, 0.000026, 0.000022, 0.000248, 0.000222, 0.000038 
 18.900000, 0.000011, 0.000170, 0.000046, 0.000305, 0.000293, 0.000037 
 18.950000, 0.000039, 0.000191, 0.000051, 0.000304, 0.000299, 0.000309 
 19.000000, 0.000071, 0.000494, 0.000505, 0.000622, 0.000583, 0.001008 
 19.050000, 0.000091, 0.000509, 0.001767, 0.000639, 0.002204, 0.001279 
 19.100000, 0.001065, 0.000550, 0.008159, 0.002500, 0.002248, 0.004746 
 19.150000, 0.001064, 0.000610, 0.009993, 0.003122, 0.003917, 0.005172 
 19.200000, 0.001087, 0.001004, 0.012199, 0.004192, 0.003889, 0.005421 
